"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"Moms for Liberty - Schuylkill County, PA Chapter","Schuylkill County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Seminole County, FL Chapter","Seminole County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Shelby County, TN Chapter","Shelby County","Tennessee","","Antigovernment Movement","","","2022"
"Moms for Liberty - Snohomish County, WA Chapter","Snohomish County","Washington","","Antigovernment Movement","","","2022"
"Moms for Liberty - Snyder County, PA Chapter","Snyder County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Spotsylvania County, VA Chapter","Spotsylvania County","Virginia","","Antigovernment Movement","","","2022"
"Moms for Liberty - St. Charles County, MO Chapter","St. Charles County","Missouri","","Antigovernment Movement","","","2022"
"Moms for Liberty - St. Johns County Chapter","St. Johns County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - St. Louis County, MO Chapter","St. Louis County","Missouri","","Antigovernment Movement","","","2022"
"Moms for Liberty - Stafford County, VA Chapter","Stafford County","Virginia","","Antigovernment Movement","","","2022"
"Moms for Liberty - Stanly County, NC Chapter","Stanly County","North Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Stark County, OH Chapter","Stark County","Ohio","","Antigovernment Movement","","","2022"
"Moms for Liberty - Stephens County, OK Chapter","Stephens County","Oklahoma","","Antigovernment Movement","","","2022"
"Moms for Liberty - Story County, IA Chapter","Story County","Iowa","","Antigovernment Movement","","","2022"
"Moms for Liberty - Summit County, OH Chapter","Summit County","Ohio","","Antigovernment Movement","","","2022"
"Moms for Liberty - Sumner County, TN Chapter","Sumner County","Tennessee","","Antigovernment Movement","","","2022"
"Moms for Liberty - Talbot County, MD County","Talbot County","Maryland","","Antigovernment Movement","","","2022"
"Moms for Liberty - Tarrant County, TX Chapter","Tarrant County","Texas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Tipton County, IN Chapter","Tipton County","Indiana","","Antigovernment Movement","","","2022"
"Moms for Liberty - Transylvania County, NC Chapter","Transylvania County","North Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Travis County, TX Chapter","Travis County","Texas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Tulsa County, OK Chapter","Tulsa County","Oklahoma","","Antigovernment Movement","","","2022"
"Moms for Liberty - Union County, NC Chapter","Union County","North Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Union County, PA Chapter","Union County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Volusia County, FL Chapter","Volusia County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Wake County, NC Chapter","Wake County","North Carolina","","Antigovernment Movement","","","2022"
"Moms for Liberty - Walton County, FL Chapter","Walton County","Florida","","Antigovernment Movement","","","2022"
"Moms for Liberty - Warren County, IA Chapter","Warren County","Iowa","","Antigovernment Movement","","","2022"
"Moms for Liberty - Warrick County, IN Chapter","Warrick County","Indiana","","Antigovernment Movement","","","2022"
"Moms For Liberty - Washington County, AR Chapter","Washington County","Arkansas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Washington County, AR Chapter","Washington County","Arkansas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Washington County, PA Chapter","Washington County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - Washtenaw County, MI Chapter","Washtenaw County","Michigan","","Antigovernment Movement","","","2022"
"Moms for Liberty - Wayne County, MI Chapter","Wayne County","Michigan","","Antigovernment Movement","","","2022"
"Moms for Liberty - Wayne County, NY Chapter","Wayne County","New York","","Antigovernment Movement","","","2022"
"Moms for Liberty - Westchester County, NY Chapter","Westchester County","New York","","Antigovernment Movement","","","2022"
"Moms for Liberty - Whitman County, WA Chapter","Whitman County","Washington","","Antigovernment Movement","","","2022"
"Moms for Liberty - Williams County, ND Chapter","Williams County","North Dakota","","Antigovernment Movement","","","2022"
"Moms for Liberty - Williamson County, TN Chapter","Williamson County","Tennessee","","Antigovernment Movement","","","2022"
"Moms for Liberty - Williamson County, TX Chapter","Williamson County","Texas","","Antigovernment Movement","","","2022"
"Moms for Liberty - Wilson County, TN Chapter","Wilson County","Tennessee","","Antigovernment Movement","","","2022"
"Moms for Liberty - Wood County, WI Chapter","Wood County","Wisconsin","","Antigovernment Movement","","","2022"
"Moms for Liberty - Wright County, MN Chapter","Wright County","Minnesota","","Antigovernment Movement","","","2022"
"Moms for Liberty - Yellowstone County, MT Chapter","Yellowstone County","Montana","","Antigovernment Movement","","","2022"
"Moms for Liberty - Yolo County, CA Chapter","Yolo County","California","","Antigovernment Movement","","","2022"
"Moms for Liberty - York County, PA Chapter","York County","Pennsylvania","","Antigovernment Movement","","","2022"
"Moms for Liberty - York County, SC Chapter","York County","South Carolina","","Antigovernment Movement","","","2022"
"Mountains of Israel","Houston","Texas","","General Hate ","Yes","","2022"
"MSR Productions","","Nebraska","","Hate Music ","Yes","Yes","2022"
"Nation of Islam","Chicago","Illinois","Nation of Islam","Antisemitism","Yes","","2022"
"Nation of Kings and Priests","Orlando","Florida","","General Hate ","Yes","","2022"
"National Alliance","Mountain City","Tennessee","National Alliance","Neo-Nazi","Yes","","2022"
"National Alliance","","Iowa","National Alliance","Neo-Nazi","","Yes","2022"
"National Alliance","","Pennsylvania","National Alliance","Neo-Nazi","","Yes","2022"
"National Assembly","Riverside","California","","Antigovernment Movement","","","2022"
"National Assembly","Honolulu","Hawaii","","Antigovernment Movement","","","2022"
"National Assembly","Cherokee County","North Carolina","","Antigovernment Movement","","","2022"
"National Assembly","Fairbanks","Alaska","","Antigovernment Movement","Yes","","2022"
"National Assembly","","Arizona","","Antigovernment Movement","","Yes","2022"
"National Assembly","","Florida","","Antigovernment Movement","","Yes","2022"
"National Assembly","","Georgia","","Antigovernment Movement","","Yes","2022"
"National Assembly","","Idaho","","Antigovernment Movement","","Yes","2022"
"National Assembly","","Kentucky","","Antigovernment Movement","","Yes","2022"
"National Assembly","","Missouri","","Antigovernment Movement","","Yes","2022"
"National Assembly","","Montana","","Antigovernment Movement","","Yes","2022"
"National Assembly","","North Carolina","","Antigovernment Movement","","Yes","2022"
"National Assembly","","North Dakota","","Antigovernment Movement","","Yes","2022"
"National Assembly","","Utah","","Antigovernment Movement","","Yes","2022"
"National Assembly","","Virginia","","Antigovernment Movement","","Yes","2022"
"National Assembly","","Michigan","","Antigovernment Movement","Yes","Yes","2022"
"National Constitutional Coalition of Patriotic Americans","Bridgeport","West Virginia","","Antigovernment Movement","Yes","","2022"
"National Constitutional Coalition of Patriotic Americans","","Connecticut","","Antigovernment Movement","","Yes","2022"
"National Constitutional Coalition of Patriotic Americans","","Maine","","Antigovernment Movement","","Yes","2022"
"National Constitutional Coalition of Patriotic Americans","","New Jersey","","Antigovernment Movement","","Yes","2022"
"National Constitutional Coalition of Patriotic Americans","","Pennsylvania","","Antigovernment Movement","","Yes","2022"
"National Constitutional Coalition of Patriotic Americans","","Tennessee","","Antigovernment Movement","","Yes","2022"
"National Justice Party","Dayton","Ohio","","White Nationalist ","Yes","","2022"
"National Liberty Alliance","Hyde Park","New York","National Liberty Alliance","Antigovernment Movement","Yes","","2022"
"National Socialist Charitable Coalition/Global Minority Initiative","","Indiana","","Neo-Nazi","","Yes","2022"
"National Socialist German Workers Party","Lincoln","Nebraska","","Neo-Nazi","Yes","","2022"
"National Socialist Movement","Maricopa","Arizona","National Socialist Movement","Neo-Nazi","","","2022"
"National Socialist Movement","Kissimmee","Florida","National Socialist Movement","Neo-Nazi","Yes","","2022"
"National Socialist Movement","","Indiana","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Movement","","Mississippi","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Movement","","Montana","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Movement","","Nevada","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Movement","","Pennsylvania","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Movement","","Tennessee","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Movement","","Washington","National Socialist Movement","Neo-Nazi","","Yes","2022"
"National Socialist Order","","Colorado","","Neo-Nazi","Yes","Yes","2022"
"National Socialist Resistance Front","","Colorado","","Neo-Nazi","","Yes","2022"
"National Socialist Resistance Front","","North Carolina","","Neo-Nazi","","Yes","2022"
"Nationalist Social Club (NSC-131)","","Connecticut","Nationalist Social Club (NSC-131)","Neo-Nazi","","Yes","2022"
"Nationalist Social Club (NSC-131)","","Maine","Nationalist Social Club (NSC-131)","Neo-Nazi","","Yes","2022"
"Nationalist Social Club (NSC-131)","","New Hampshire","Nationalist Social Club (NSC-131)","Neo-Nazi","","Yes","2022"
"Nationalist Social Club (NSC-131)","","Rhode Island","Nationalist Social Club (NSC-131)","Neo-Nazi","","Yes","2022"
"Nationalist Social Club (NSC-131)","","Massachusetts","Nationalist Social Club (NSC-131)","Neo-Nazi","Yes","Yes","2022"
"NatSoc Florida","","Florida","","Neo-Nazi","","Yes","2022"
"Natural Law Hawaii","","Hawaii","","Antigovernment Movement","","Yes","2022"
"Natural News","Cody","Wyoming","","Antigovernment Movement","","","2022"
"Nebraska Parents Involved in Education","","Nebraska","","Antigovernment Movement","","Yes","2022"
"Nevada Parents Involved in Education","","Nevada","","Antigovernment Movement","","Yes","2022"
"New Black Panther Party","Houston","Texas","New Black Panther Party","General Hate ","Yes","","2022"
"New California State","Yuba City","California","","Antigovernment Movement","Yes","","2022"
"New Columbia Movement","Dallas","Texas","","White Nationalist ","","","2022"
"New Columbia Movement","La Plume Twp","Pennsylvania","","White Nationalist ","Yes","","2022"
"New England Minutemen","","New Hampshire","","Antigovernment Movement","Yes","Yes","2022"
"New Hampshire Parents Involved in Education","","New Hampshire","","Antigovernment Movement","","Yes","2022"
"New Jersey European Heritage Association","","New Jersey","","White Nationalist ","Yes","Yes","2022"
"New Jersey Parents Involved in Education","","New Jersey","","Antigovernment Movement","","Yes","2022"
"New Mexico Parents Involved in Education","","New Mexico","","Antigovernment Movement","","Yes","2022"
"New Order","Milwaukee","Wisconsin","","Neo-Nazi","Yes","","2022"
"New York Militia TM","Broadalbin","New York","","Antigovernment Movement","","","2022"
"New York Militia TM","Tillson","New York","","Antigovernment Movement","","","2022"
"New York Militia TM","Schaghticoke","New York","","Antigovernment Movement","Yes","","2022"
"New York Parents Involved in Education","","New York","","Antigovernment Movement","","Yes","2022"
"News With Views","","Texas","","Antigovernment Movement","","Yes","2022"
"Next News Network","Northbrook","Illinois","","Antigovernment Movement","","","2022"
"No Left Turn in Education","Gladwyne","Pennsylvania","","Antigovernment Movement","Yes","","2022"
"North Carolina Moms for America","","North Carolina","","Antigovernment Movement","","Yes","2022"
"North Carolina Parents Involved in Education","","North Carolina","","Antigovernment Movement","","Yes","2022"
"North Carolinians for Immigration Reform and Enforcement","Wade","North Carolina","","Anti-Immigrant","","","2022"
"North Dakota Parents Involved in Education","","North Dakota","","Antigovernment Movement","","Yes","2022"
"North East Ohio Woodsmen","East Rochester","Ohio","","Antigovernment Movement","Yes","","2022"
"Northern Illinois Moms for America","","Illinois","","Antigovernment Movement","","Yes","2022"
"Northwest Front","Seattle","Washington","","White Nationalist ","Yes","","2022"
"Northwest Hammerskins","","Idaho","","Racist Skinhead ","","Yes","2022"
"Norwich Chapter","Norwich","Connecticut","","Antigovernment Movement","","","2022"
"Now the End Begins","Jacksonville","Florida","","Antigovernment Movement","","","2022"
"NS Publications","Wyandotte","Michigan","","Neo-Nazi","","","2022"
"NSDAP","","Florida","","Neo-Nazi","","Yes","2022"
"Oath Keepers","Bedford","Virginia","Oath Keepers","Antigovernment Movement","","","2022"
"Oath Keepers","Fredericksburg","Virginia","Oath Keepers","Antigovernment Movement","","","2022"
"Oath Keepers","Zuni","Virginia","Oath Keepers","Antigovernment Movement","","","2022"
"Oath Keepers","Blackstone","Virginia","Oath Keepers","Antigovernment Movement","","","2022"
"Oath Keepers","Wakefield","Virginia","Oath Keepers","Antigovernment Movement","","","2022"
"Oath Keepers","Las Vegas","Nevada","Oath Keepers","Antigovernment Movement","Yes","","2022"
"Oath Keepers","","Arizona","Oath Keepers","Antigovernment Movement","","Yes","2022"
"Oath Keepers","","Texas","Oath Keepers","Antigovernment Movement","","Yes","2022"
"Oath Keepers","","Utah","Oath Keepers","Antigovernment Movement","","Yes","2022"
"Oath Keepers - Yavapai County Preparedness Team","Chino Valley","Arizona","Oath Keepers","Antigovernment Movement","","","2022"
"Oath Keepers of Pennsylvania","","Pennsylvania","Oath Keepers","Antigovernment Movement","","Yes","2022"
"Occidental Dissent","Eufaula","Alabama","","White Nationalist ","Yes","","2022"
"Occidental Observer","Medford","Oregon","","White Nationalist ","Yes","","2022"
"Occidental Quarterly/Charles Martel Society","Atlanta","Georgia","Occidental Quarterly","White Nationalist ","Yes","","2022"
"Occupied Forces Hawaii Army","","Hawaii","","Antigovernment Movement","Yes","Yes","2022"
"Official Street Preachers","Los Angeles","California","","General Hate ","Yes","","2022"
"Ohio Defense Force Home Guard","New Lexington","Ohio","","Antigovernment Movement","","","2022"
"Ohio Defense Force Home Guard","Zanesville","Ohio","","Antigovernment Movement","Yes","","2022"
"Ohio Militiamen","","Ohio","","Antigovernment Movement","Yes","Yes","2022"
"Ohio Minutemen Militia","Oak Harbor","Ohio","","Antigovernment Movement","Yes","","2022"
"Ohio Parents Involved in Education","","Ohio","","Antigovernment Movement","","Yes","2022"
"Ohio Patriots Alliance","Newark","Ohio","","Antigovernment Movement","Yes","","2022"
"Oklahoma Moms For America","","Oklahoma","","Antigovernment Movement","","Yes","2022"
"Oklahoma Parents Involved in Education","","Oklahoma","","Antigovernment Movement","","Yes","2022"
"Old Glory Knights of the Ku Klux Klan","Santa Fe","Tennessee","","Ku Klux Klan ","Yes","","2022"
"OneBody in Yahawashi","Dallas","Texas","","General Hate ","Yes","","2022"
"Oregon Parents Involved in Education","","Oregon","","Antigovernment Movement","","Yes","2022"
"Oregon Statewide Jural Assembly","Beaverton","Oregon","","Antigovernment Movement","Yes","","2022"
"Oregonians for Immigration Reform","Salem","Oregon","","Anti-Immigrant","Yes","","2022"
"Overpasses for America","","Illinois","","Antigovernment Movement","","Yes","2022"
"Pacific Justice Institute","Sacramento","Florida","Pacific Justice Institute","Anti-LGBTQ","","","2022"
"Pacific Justice Institute","Reno","Nevada","Pacific Justice Institute","Anti-LGBTQ","","","2022"
"Pacific Justice Institute","Salem","Oregon","Pacific Justice Institute","Anti-LGBTQ","","","2022"
"Pacific Justice Institute","Seattle","Washington","Pacific Justice Institute","Anti-LGBTQ","","","2022"
"Pacific Justice Institute","Sacramento","California","Pacific Justice Institute","Anti-LGBTQ","Yes","","2022"
"Pacific Justice Institute, Orange County Office","Santa Ana","California","Pacific Justice Institute","Anti-LGBTQ","","","2022"
"Palm Beach County Moms for America","","Florida","","Antigovernment Movement","","Yes","2022"
"Panhandle Patriots Riding Club","","Idaho","","Antigovernment Movement","Yes","Yes","2022"
"Parents Against Critical Race Theory LLC","Ashburn","Virginia","","Antigovernment Movement","Yes","","2022"
"Parents Defending Education","Arlington","Virginia","","Antigovernment Movement","Yes","","2022"
"Parents' Rights in Education - Alaska","","Alaska","","Antigovernment Movement","","Yes","2022"
"Parents' Rights in Education - Arizona","","Arizona","","Antigovernment Movement","","Yes","2022"
"Parents' Rights in Education - Idaho","","Idaho","","Antigovernment Movement","","Yes","2022"
"Parents' Rights in Education - Illinois","","Illinois","","Antigovernment Movement","","Yes","2022"
"Parents' Rights in Education - Maine","","Maine","","Antigovernment Movement","","Yes","2022"
"Parents' Rights in Education - Montana","","Montana","","Antigovernment Movement","","Yes","2022"
"Parents' Rights in Education - Ohio","","Ohio","","Antigovernment Movement","","Yes","2022"
"Parents' Rights in Education - Oregon","","Oregon","","Antigovernment Movement","","Yes","2022"
"Parents' Rights in Education - Texas","","Texas","","Antigovernment Movement","","Yes","2022"
"Parents' Rights in Education - Virginia","","Virginia","","Antigovernment Movement","","Yes","2022"
"Parents' Rights in Education - Washington State","","Washington","","Antigovernment Movement","","Yes","2022"
"Parents' Rights in Education - Wisconsin","","Wisconsin","","Antigovernment Movement","","Yes","2022"
"Pass the Salt Ministries","Hebron","Ohio","","Anti-LGBTQ","Yes","","2022"
"Patriot America","Middletown","Ohio","","Antigovernment Movement","Yes","","2022"
"Patriot Front","Washington","District of Columbia","Patriot Front","White Nationalist ","","","2022"
"Patriot Front","","Alabama","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Arizona","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Arkansas","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","California","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Colorado","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Connecticut","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Delaware","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Florida","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Georgia","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Idaho","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Illinois","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Indiana","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Iowa","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Kansas","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Kentucky","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Louisiana","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Maine","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Maryland","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Massachusetts","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Michigan","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Minnesota","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Mississippi","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Missouri","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Nebraska","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Nevada","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","New Hampshire","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","New Jersey","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","New Mexico","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","New York","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","North Carolina","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Ohio","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Oklahoma","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Oregon","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Pennsylvania","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Rhode Island","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","South Carolina","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","South Dakota","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Tennessee","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Utah","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Vermont","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Virginia","Patriot Front","White Nationalist ","","Yes","2022"
"Patriot Front","","Washington","Patriot Front","White Nationalist ","","Yes","2022"
